sgRNA	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
44959	random	595	524	1986	723
44960	random	244	289	814	350
44961	random	445	456	1260	621
44962	random	762	605	2310	901
44963	random	1025	758	3558	977
44964	random	464	268	1331	388
44965	random	464	441	1656	504
44966	random	230	185	528	194
44967	random	804	670	2382	891
44968	random	666	568	2243	582
44969	random	393	248	1170	329
44970	random	816	614	2352	966
44971	random	536	465	1554	475
44972	random	406	356	1103	436
44973	random	338	259	895	540
44974	random	90	22	118	88
44975	random	650	456	1658	708
44976	random	386	327	1000	464
44977	random	711	489	1966	680
44978	random	561	459	2047	614
44979	random	871	566	2308	843
44980	random	867	666	3062	1060
44981	random	422	304	1217	344
44982	random	515	477	1517	635
44983	random	300	327	1250	530
44984	random	671	563	1882	822
44985	random	482	378	1214	714
44986	random	266	252	798	382
44987	random	935	898	3193	922
44988	random	513	519	1548	695
44989	random	516	425	1437	688
44990	random	556	498	1331	740
44991	random	600	404	1873	464
44992	random	588	435	1542	696
44993	random	1064	905	3590	1316
44994	random	369	446	1066	470
44995	random	588	483	1730	537
44996	random	513	328	1232	444
44997	random	662	565	2186	723
44998	random	891	745	2481	927
44999	random	682	543	2194	716
45000	random	768	654	2142	790
45001	random	617	538	1924	661
45002	random	731	717	2469	859
45003	random	792	588	2515	940
45004	random	1029	762	2526	1053
45005	random	667	516	1902	710
45006	random	38	34	169	24
45007	random	915	627	2886	930
45008	random	486	484	1083	878
45009	random	580	435	1625	416
45010	random	442	379	1515	516
45011	random	552	372	1555	406
45012	random	371	325	1003	458
45013	random	860	689	2915	940
45014	random	642	546	2349	806
45015	random	882	805	3129	1048
45016	random	396	416	572	130
45017	random	665	565	2818	793
45018	random	300	271	1030	365
45019	random	588	420	1602	519
45020	random	610	547	1944	646
45021	random	370	252	1137	302
45022	random	416	301	1548	479
45023	random	378	245	848	301
45024	random	326	331	1027	496
45025	random	637	516	1871	558
45026	random	651	588	2597	694
45027	random	491	313	1512	428
45028	random	193	227	478	245
45029	random	327	233	989	231
45030	random	311	204	1378	236
45031	random	786	625	3225	700
45032	random	401	309	1382	326
45033	random	540	422	1680	522
45034	random	467	447	1656	640
45035	random	464	409	1670	608
45036	random	142	131	386	269
45037	random	821	720	2010	1027
45038	random	662	470	2029	572
45039	random	263	220	820	381
45040	random	418	413	1338	428
45041	random	730	474	1971	515
45042	random	130	139	553	270
45043	random	623	431	2012	629
45044	random	672	544	2192	651
45045	random	539	337	1256	334
45046	random	605	404	1805	453
45047	random	745	651	2357	1089
45048	random	525	396	1614	476
45049	random	1197	1023	3765	1401
45050	random	417	267	1165	610
45051	random	735	540	1993	660
45052	random	756	432	1810	485
45053	random	473	328	1510	398
45054	random	350	259	1340	468
45055	random	612	425	1806	781
45056	random	446	360	1501	476
45057	random	285	293	1040	497
45058	random	245	302	858	283
45059	random	697	531	2195	1050
45060	random	660	455	2700	539
45061	random	732	514	2314	711
45062	random	665	469	2441	612
45063	random	531	321	1669	551
45064	random	634	473	1568	633
45065	random	738	542	2095	958
45066	random	557	474	1646	832
45067	random	552	445	1347	641
45068	random	399	439	1378	603
45069	random	557	635	1670	739
45070	random	215	155	1266	391
45071	random	327	280	913	326
45072	random	795	698	2523	942
45073	random	235	284	730	361
45074	random	678	562	1974	684
45075	random	963	773	2954	931
45076	random	251	163	512	159
45077	random	95	110	488	106
45078	random	608	531	2322	835
45079	random	855	529	2209	675
45080	random	548	521	1757	697
45081	random	472	432	1556	553
45082	random	567	465	1897	500
45083	random	467	322	1307	518
45084	random	481	356	1623	508
45085	random	1148	911	3013	1219
45086	random	583	419	1935	441
45087	random	579	413	1786	581
45088	random	115	102	251	108
45089	random	784	528	2568	650
45090	random	415	386	1162	569
45091	random	471	385	1410	332
45092	random	421	299	1152	510
45093	random	701	667	2172	902
45094	random	867	624	1992	725
45095	random	368	409	1705	629
45096	random	1072	771	3552	951
45097	random	862	715	2632	979
45098	random	859	692	2845	1030
45099	random	696	550	2113	747
45100	random	461	391	1763	466
45101	random	414	379	1170	453
45102	random	443	363	1201	567
45103	random	429	413	1539	640
45104	random	844	707	2677	904
45105	random	332	333	989	382
45106	random	897	628	2818	868
45107	random	870	680	3006	704
45108	random	933	807	2956	1114
45109	random	711	588	2406	695
45110	random	482	448	1532	479
45111	random	245	283	1221	353
45112	random	718	562	1792	788
45113	random	1040	798	2987	1121
45114	random	660	626	1780	782
45115	random	983	787	3294	1106
45116	random	360	243	1237	386
45117	random	626	486	2437	835
45118	random	325	331	1103	368
45119	random	471	326	1526	567
45120	random	524	445	1800	547
45121	random	377	325	1292	447
45122	random	578	553	1909	655
45123	random	214	162	751	272
45124	random	717	472	1810	570
45125	random	633	383	1738	506
45126	random	491	393	1156	568
45127	random	700	525	2218	722
45128	random	551	520	1835	795
45129	random	394	312	1246	350
45130	random	224	181	837	110
45131	random	831	661	2779	763
45132	random	1109	899	3237	1086
45133	random	682	469	2006	512
45134	random	622	408	2075	636
45135	random	1008	595	2815	857
45136	random	587	500	2428	574
45137	random	706	525	2217	549
45138	random	688	492	2141	640
45139	random	505	350	1346	483
45140	random	152	181	639	148
45141	random	1082	903	3385	1378
45142	random	643	573	2548	873
45143	random	122	86	273	57
45144	random	527	471	1696	754
45145	random	879	809	2525	977
45146	random	672	631	2448	894
45147	random	520	447	1593	589
45148	random	930	683	3000	847
45149	random	647	545	1503	893
45150	random	62	118	175	52
45151	random	736	662	2412	837
45152	random	486	484	1076	592
45153	random	119	148	243	151
45154	random	723	470	2068	629
45155	random	617	558	2348	656
45156	random	684	384	1863	787
45157	random	1278	957	3848	1409
45158	random	570	357	1212	521
45159	random	489	487	1584	594
45160	random	708	536	1861	851
45161	random	384	282	974	315
45162	random	121	84	148	154
45163	random	582	568	1767	685
45164	random	505	336	1333	453
45165	random	662	461	1439	612
45166	random	987	714	2935	1260
45167	random	131	113	278	79
45168	random	361	346	1101	530
45169	random	798	626	3017	895
45170	random	96	41	348	100
45171	random	316	253	842	278
45172	random	520	375	1495	456
45173	random	755	551	2256	1000
45174	random	318	242	931	424
45175	random	722	525	2502	791
45176	random	845	643	2517	801
45177	random	760	558	2813	881
45178	random	269	268	937	300
45179	random	533	364	1856	544
45180	random	890	606	3237	840
45181	random	378	247	1394	445
45182	random	568	463	1690	681
