guide	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
hela_unique:non-targeting_01565	random	501	494	1669	612
hela_unique:non-targeting_01566	random	507	443	1279	589
hela_unique:non-targeting_01567	random	344	329	1115	412
hela_unique:non-targeting_01568	random	619	406	1889	649
hela_unique:non-targeting_01569	random	515	447	1557	636
hela_unique:non-targeting_01570	random	1139	1005	4381	1413
hela_unique:non-targeting_01571	random	489	408	1520	614
hela_unique:non-targeting_01572	random	750	713	2523	814
hela_unique:non-targeting_01573	random	864	793	3108	1052
hela_unique:non-targeting_01574	random	120	98	458	141
hela_unique:non-targeting_01575	random	147	143	544	179
hela_unique:non-targeting_01576	random	536	352	2365	497
hela_unique:non-targeting_01577	random	368	270	1052	495
hela_unique:non-targeting_01578	random	248	205	595	241
hela_unique:non-targeting_01579	random	593	497	2424	626
hela_unique:non-targeting_01580	random	592	547	1782	725
hela_unique:non-targeting_01581	random	368	344	1194	348
hela_unique:non-targeting_01582	random	890	662	2882	903
hela_unique:non-targeting_01583	random	807	618	2484	956
hela_unique:non-targeting_01584	random	619	555	1954	730
hela_unique:non-targeting_01585	random	500	410	2029	526
hela_unique:non-targeting_01586	random	614	601	2248	879
hela_unique:non-targeting_01587	random	326	295	1202	406
hela_unique:non-targeting_01588	random	556	556	2279	636
hela_unique:non-targeting_01589	random	686	450	2072	589
hela_unique:non-targeting_01590	random	584	444	1635	513
hela_unique:non-targeting_01591	random	426	379	1545	502
hela_unique:non-targeting_01592	random	289	192	746	214
hela_unique:non-targeting_01593	random	697	627	1586	745
hela_unique:non-targeting_01594	random	741	715	2135	839
hela_unique:non-targeting_01595	random	663	637	2083	785
hela_unique:non-targeting_01596	random	468	423	1477	619
hela_unique:non-targeting_01597	random	633	370	2440	520
hela_unique:non-targeting_01598	random	595	524	1986	723
hela_unique:non-targeting_01599	random	244	289	814	350
hela_unique:non-targeting_01600	random	445	456	1260	621
hela_unique:non-targeting_01601	random	762	605	2310	901
hela_unique:non-targeting_01602	random	1025	758	3558	977
hela_unique:non-targeting_01603	random	464	268	1331	388
hela_unique:non-targeting_01604	random	464	441	1656	504
hela_unique:non-targeting_01605	random	230	185	528	194
hela_unique:non-targeting_01606	random	804	670	2382	891
hela_unique:non-targeting_01607	random	666	568	2243	582
hela_unique:non-targeting_01608	random	393	248	1170	329
hela_unique:non-targeting_01609	random	816	614	2352	966
hela_unique:non-targeting_01610	random	536	465	1554	475
hela_unique:non-targeting_01611	random	406	356	1103	436
hela_unique:non-targeting_01612	random	338	259	895	540
hela_unique:non-targeting_01613	random	90	22	118	88
hela_unique:non-targeting_01614	random	650	456	1658	708
hela_unique:non-targeting_01615	random	386	327	1000	464
hela_unique:non-targeting_01616	random	711	489	1966	680
hela_unique:non-targeting_01617	random	561	459	2047	614
hela_unique:non-targeting_01618	random	871	566	2308	843
hela_unique:non-targeting_01619	random	867	666	3062	1060
hela_unique:non-targeting_01620	random	422	304	1217	344
hela_unique:non-targeting_01621	random	515	477	1517	635
hela_unique:non-targeting_01622	random	300	327	1250	530
hela_unique:non-targeting_01623	random	671	563	1882	822
hela_unique:non-targeting_01624	random	482	378	1214	714
hela_unique:non-targeting_01625	random	266	252	798	382
hela_unique:non-targeting_01626	random	935	898	3193	922
hela_unique:non-targeting_01627	random	513	519	1548	695
hela_unique:non-targeting_01628	random	516	425	1437	688
hela_unique:non-targeting_01629	random	556	498	1331	740
hela_unique:non-targeting_01630	random	600	404	1873	464
hela_unique:non-targeting_01631	random	588	435	1542	696
hela_unique:non-targeting_01632	random	1064	905	3590	1316
hela_unique:non-targeting_01633	random	369	446	1066	470
hela_unique:non-targeting_01634	random	588	483	1730	537
hela_unique:non-targeting_01635	random	513	328	1232	444
hela_unique:non-targeting_01636	random	662	565	2186	723
hela_unique:non-targeting_01637	random	891	745	2481	927
hela_unique:non-targeting_01638	random	682	543	2194	716
hela_unique:non-targeting_01639	random	768	654	2142	790
hela_unique:non-targeting_01640	random	617	538	1924	661
hela_unique:non-targeting_01641	random	731	717	2469	859
