Spacer	Gene	KBM7initialRep1	KBM7finalRep1	KBM7initialRep2	KBM7finalRep2	K562initial	K562final	Jiyoyeinitial	Jiyoyefinal	Rajiinitial	Rajifinal
CTRL00559	CTRL	696	387	534	512	466	1026	86	122	222	106
CTRL00560	CTRL	1011	1204	1132	963	555	1065	133	154	517	174
CTRL00561	CTRL	613	593	692	504	395	636	112	106	251	88
CTRL00562	CTRL	254	240	280	137	115	257	0	38	71	32
CTRL00563	CTRL	862	871	1028	752	723	1160	225	188	414	197
CTRL00564	CTRL	1063	863	850	718	667	1517	230	198	362	119
CTRL00565	CTRL	328	217	478	368	426	592	112	130	181	67
CTRL00566	CTRL	515	520	664	372	453	1134	72	163	390	104
CTRL00567	CTRL	675	553	571	549	403	769	194	208	226	129
CTRL00568	CTRL	548	376	649	562	459	1212	314	125	371	106
CTRL00569	CTRL	339	262	358	466	199	441	97	53	177	55
CTRL00570	CTRL	2448	1631	2611	2061	2403	4861	827	613	1517	615
CTRL00571	CTRL	87	43	183	115	171	237	16	23	88	27
CTRL00572	CTRL	437	348	494	407	314	470	17	57	240	65
CTRL00573	CTRL	224	207	130	174	173	545	0	32	107	20
CTRL00574	CTRL	169	59	79	40	134	277	99	19	99	10
CTRL00575	CTRL	362	173	285	97	210	483	120	88	187	56
CTRL00576	CTRL	399	235	434	407	347	505	121	48	127	60
CTRL00577	CTRL	50	42	90	38	117	182	63	23	107	30
CTRL00578	CTRL	995	895	979	389	672	832	152	124	322	125
CTRL00579	CTRL	923	598	769	622	567	1057	182	186	383	207
CTRL00580	CTRL	86	89	91	48	62	155	61	13	59	16
CTRL00581	CTRL	658	398	774	290	400	626	190	109	242	87
CTRL00582	CTRL	1357	1031	1136	838	1085	1813	233	266	731	207
CTRL00583	CTRL	1628	978	1463	1087	1173	1743	384	336	769	305
CTRL00584	CTRL	1073	1107	1008	586	696	967	212	163	491	138
CTRL00585	CTRL	606	258	397	567	313	456	50	93	336	64
CTRL00586	CTRL	1518	1631	1550	1039	1624	3448	350	448	857	317
CTRL00587	CTRL	1258	1637	1651	882	1093	1826	387	218	481	199
CTRL00588	CTRL	89	70	165	200	70	14	6	21	107	8
CTRL00589	CTRL	721	403	516	245	415	1555	144	47	231	47
CTRL00590	CTRL	2113	1835	2621	2036	1696	3512	690	417	1116	402
CTRL00591	CTRL	382	153	260	222	312	353	37	61	212	61
CTRL00592	CTRL	427	310	377	299	279	363	34	83	253	66
CTRL00593	CTRL	806	568	368	456	372	858	172	183	287	100
CTRL00594	CTRL	202	316	268	262	153	635	118	61	94	55
CTRL00595	CTRL	38	5	52	137	43	27	38	17	36	27
CTRL00596	CTRL	323	265	162	135	123	304	27	83	45	25
CTRL00597	CTRL	85	130	122	99	133	214	0	26	55	22
CTRL00598	CTRL	451	244	746	179	512	802	77	49	259	125
CTRL00599	CTRL	414	381	350	445	357	382	15	110	162	78
CTRL00600	CTRL	2353	1578	2374	1579	1517	3225	393	452	954	296
