Guide	Counts
ACCSL_11_w_44069616.27-all	683
ACCSL_11_w_44069617.26-all	304
ACCSL_11_w_44069636.25-all	589
ACCS_11_c_44089206.28-all	770
ACCS_11_w_44089184.25-all	819
ACCS_11_w_44089185.26-all	765
ACCS_11_w_44089189.27-all	502
ACD_16_c_67694355.25-all	326
ACD_16_c_67694377.26-all	277
ACD_16_w_67694336.28-all	829
ACD_16_w_67694337.25-all	451
ACE2_X_c_15618978.25-all	1183
ACE2_X_c_15619004.28-all	826
ACE2_X_c_15619013.24-all	732
ACE2_X_w_15618967.28-all	1454
ACER1_19_c_6333533.26-all	619
ACER1_19_c_6333545.23-all	617
ACER1_19_c_6333558.26-all	400
ACER1_19_w_6333528.27-all	364
ACER2_9_c_19423964.27-all	630
ACER2_9_c_19424797.27-all	1030
ACER2_9_w_19409163.26-all	585
ACER2_9_w_19424790.27-all	309
ACER3_11_c_76572044.23-all	554
ACER3_11_w_76572026.24-all	394
ACER3_11_w_76572030.28-all	195
ACER3_11_w_76572037.27-all	417
ACE_17_c_61562634.28-all	832
ACE_17_c_61562637.26-all	638
ACE_17_w_61562597.28-all	934
ACE_17_w_61562620.26-all	714
ACHE_7_c_100491843.28-all	409
ACHE_7_c_100491844.27-all	998
ACHE_7_c_100491845.28-all	1474
ACHE_7_c_100491846.25-all	775
ACIN1_14_c_23538761.27-all	578
ACIN1_14_c_23538767.28-all	401
ACIN1_14_c_23538782.27-all	584
ACIN1_14_c_23538805.25-all	822
ACKR2_3_w_42905998.28-all	1297
ACKR2_3_w_42906001.26-all	498
ACKR2_3_w_42906012.26-all	699
ACKR2_3_w_42906018.26-all	816
ACKR3_2_c_237489142.27-all	996
ACKR3_2_c_237489143.28-all	1651
ACKR3_2_c_237489153.28-all	673
ACKR3_2_w_237489138.28-all	558
ACKR4_3_c_132319915.27.pass20-all	798
ACKR4_3_w_132319369.28.pass1-all	1504
ACKR4_3_w_132319372.25.pass1-all	738
ACKR4_3_w_132319381.26.pass11-all	282
ACLY_17_c_40070084.22-all	140
ACLY_17_c_40070118.26-all	949
ACLY_17_w_40070094.27-all	1095
ACLY_17_w_40070095.25-all	593
ACMSD_2_c_135616855.25-all	750
ACMSD_2_c_135616856.26-all	1680
ACMSD_2_c_135616872.26-all	626
ACMSD_2_c_135616889.23-all	1014
ACN9_7_w_96747094.28-all	314
ACN9_7_w_96747104.24-all	313
ACN9_7_w_96747105.27-all	1111
ACN9_7_w_96747106.25-all	770
ACO1_9_w_32405512.24-all	1185
ACO1_9_w_32405513.23-all	794
ACO1_9_w_32405524.26-all	654
ACO1_9_w_32405543.24-all	688
ACO2_22_c_41865179.27-all	287
ACO2_22_c_41903819.23-all	218
ACO2_22_c_41903835.27-all	539
ACO2_22_w_41903853.28-all	726
ACOT11_1_c_55014014.25-all	619
ACOT11_1_w_55050334.25-all	297
ACOT11_1_w_55050346.26-all	299
ACOT11_1_w_55050350.26-all	706
ACOT12_5_c_80689916.26-all	902
ACOT12_5_c_80689917.27-all	1662
ACOT12_5_c_80689923.28-all	868
ACOT12_5_w_80689905.26-all	248
ACOT13_6_c_24698186.26-all	731
ACOT13_6_c_24698201.23-all	459
ACOT13_6_w_24698174.26-all	596
ACOT13_6_w_24698210.25-all	350
ACOT1_14_c_74004297.26.pass20-all	578
ACOT1_14_w_74004285.23.pass20-all	1283
ACOT1_14_w_74004292.23.pass20-all	708
ACOT1_14_w_74004487.26-all	443
ACOT2_14_c_74036007.28-all	672
ACOT2_14_w_74035965.24-all	763
ACOT2_14_w_74035966.28-all	545
ACOT2_14_w_74035973.28-all	766
ACOT4_14_w_74058680.25-all	312
ACOT4_14_w_74058687.28-all	2332
ACOT4_14_w_74058688.27-all	1669
ACOT4_14_w_74058689.26-all	649
ACOT6_14_c_74085965.27-all	652
ACOT6_14_c_74085977.28-all	492
ACOT6_14_w_74085946.26-all	258
ACOT6_14_w_74085971.25-all	701
ACOT7_1_c_6409886.28-all	350
ACOT7_1_c_6409896.26-all	806
ACOT7_1_c_6409915.24-all	269
ACOT7_1_w_6409893.27-all	768
ACOT8_20_c_44485937.26-all	814
ACOT8_20_c_44485944.27-all	862
ACOT8_20_c_44485945.28-all	1395
ACOT8_20_c_44485946.24-all	532
ACOT9_X_c_23754101.28-all	749
ACOT9_X_c_23754124.25-all	816
ACOT9_X_w_23754091.28-all	534
ACOT9_X_w_23754097.24-all	510
ACOX1_17_c_73975142.25-all	126
ACOX1_17_c_73975147.27-all	771
ACOX1_17_c_73975148.28-all	1319
ACOX1_17_w_73975127.25-all	652
ACOX2_3_c_58520815.28-all	510
ACOX2_3_w_58520800.26-all	1854
ACOX2_3_w_58520801.28-all	663
ACOX2_3_w_58520802.24-all	290
ACOX3_4_c_8418198.24-all	1
ACOX3_4_c_8418199.24-all	296
ACOX3_4_c_8418200.26-all	565
ACOX3_4_c_8418240.25-all	388
ACOXL_2_c_111526005.25-all	492
ACOXL_2_w_111526000.28-all	876
ACOXL_2_w_111526007.26-all	757
ACOXL_2_w_111526011.28-all	501
ACP1_2_c_265006.23.pass1-all	883
ACP1_2_w_264980.24-all	1269
ACP1_2_w_271882.28-all	1117
ACP1_2_w_271883.27-all	576
ACP2_11_c_47270313.28-all	105
ACP2_11_c_47270323.27-all	286
ACP2_11_w_47270310.23-all	654
ACP2_11_w_47270316.22-all	663
ACP5_19_c_11688082.26-all	856
ACP5_19_c_11688085.24-all	972
ACP5_19_c_11688086.25-all	1521
